timestamp,score,dew_point,temp,humid,abs_humid,co2,co2_est,co2_est_baseline,voc,voc_baseline,voc_h2_raw,voc_ethanol_raw,pm25,pm10_est,location
2023-06-23T19:59:49.103Z,95,13.19,25.45,46.61,10.98,590,585,35820,140,37636,25,36,1,2,"Janonhanta1,Vantaa,Finland"
2023-06-23T20:04:49.324Z,95,13.19,25.4,46.76,10.98,584,579,35820,135,37636,25,36,1,2,"Janonhanta1,Vantaa,Finland"
2023-06-23T20:09:49.539Z,95,13.15,25.4,46.64,10.95,587,567,35819,136,37636,25,36,2,3,"Janonhanta1,Vantaa,Finland"
2023-06-23T20:14:49.752Z,95,13.15,25.42,46.56,10.95,584,595,35818,144,37636,25,36,1,2,"Janonhanta1,Vantaa,Finland"
2023-06-23T20:19:49.967Z,95,13.08,25.33,46.64,10.91,582,589,35817,147,37636,25,36,2,3,"Janonhanta1,Vantaa,Finland"
2023-06-23T20:24:50.180Z,95,13.07,25.36,46.52,10.9,581,609,35817,144,37636,25,36,1,2,"Janonhanta1,Vantaa,Finland"
2023-06-23T20:29:50.394Z,95,12.91,25.52,45.59,10.78,586,619,35816,133,37636,25,36,2,3,"Janonhanta1,Vantaa,Finland"
2023-06-23T20:34:50.612Z,94,12.83,25.55,45.26,10.72,587,678,35815,163,37636,25,36,1,2,"Janonhanta1,Vantaa,Finland"
2023-06-23T20:39:50.827Z,94,12.79,25.57,45.1,10.69,598,716,35814,192,37636,25,36,1,2,"Janonhanta1,Vantaa,Finland"
2023-06-23T20:44:51.040Z,93,12.71,25.61,44.77,10.64,615,674,35814,208,37635,25,36,1,2,"Janonhanta1,Vantaa,Finland"
2023-06-23T20:49:51.348Z,93,12.74,25.55,45.0,10.66,622,721,35813,229,37635,25,36,1,2,"Janonhanta1,Vantaa,Finland"
2023-06-23T20:54:51.564Z,93,12.71,25.54,44.94,10.64,629,721,35812,225,37635,25,36,1,2,"Janonhanta1,Vantaa,Finland"
2023-06-23T20:59:51.776Z,93,12.64,25.57,44.66,10.59,638,685,35811,219,37635,25,36,1,2,"Janonhanta1,Vantaa,Finland"
2023-06-23T21:04:51.989Z,93,12.58,25.5,44.68,10.55,645,673,35810,216,37635,25,36,1,2,"Janonhanta1,Vantaa,Finland"
2023-06-23T21:09:52.203Z,93,12.48,25.5,44.38,10.48,653,666,35810,233,37635,25,36,1,2,"Janonhanta1,Vantaa,Finland"
2023-06-23T21:14:52.417Z,93,12.41,25.5,44.19,10.44,657,701,35809,203,37635,25,36,1,2,"Janonhanta1,Vantaa,Finland"
2023-06-23T21:19:52.632Z,93,12.28,25.57,43.63,10.34,655,698,35808,207,37635,25,36,1,2,"Janonhanta1,Vantaa,Finland"
2023-06-23T21:24:52.852Z,91,11.82,25.77,41.83,10.03,655,708,35807,234,37635,25,36,2,3,"Janonhanta1,Vantaa,Finland"
2023-06-23T21:29:53.066Z,94,12.01,25.44,43.19,10.17,664,626,35807,168,37635,25,36,1,2,"Janonhanta1,Vantaa,Finland"
2023-06-23T21:34:53.281Z,94,12.18,25.34,43.94,10.29,661,601,35806,142,37635,25,36,2,3,"Janonhanta1,Vantaa,Finland"
2023-06-23T21:39:53.496Z,94,12.26,25.34,44.17,10.34,646,589,35805,141,37635,25,36,1,2,"Janonhanta1,Vantaa,Finland"
2023-06-23T21:44:53.712Z,94,12.28,25.36,44.16,10.35,636,597,35804,143,37635,25,36,2,3,"Janonhanta1,Vantaa,Finland"
2023-06-23T21:49:53.985Z,95,12.29,25.23,44.55,10.36,627,580,35804,137,37635,25,36,2,3,"Janonhanta1,Vantaa,Finland"
2023-06-23T21:54:54.200Z,95,12.28,25.26,44.45,10.36,613,573,35803,130,37634,25,36,2,3,"Janonhanta1,Vantaa,Finland"
2023-06-23T21:59:54.412Z,95,12.32,25.3,44.44,10.38,611,552,35802,129,37634,25,37,2,3,"Janonhanta1,Vantaa,Finland"
