temp,humid,co2,voc,pm25
22.01,33.57,696,289,3
21.97,33.99,705,278,3
22.0,33.85,693,272,4
21.02,30.07,730,357,1
21.02,30.11,754,368,1
21.12,30.23,786,385,1
20.89,30.71,796,384,1
20.92,30.27,750,352,1
20.79,30.55,700,344,1
20.96,30.78,678,352,1
21.02,30.7,703,381,2
21.05,30.98,721,1045,3
21.02,31.12,742,779,3
21.01,30.69,768,996,4
20.91,31.07,739,755,5
20.65,31.19,734,617,5
20.68,31.69,1012,601,5
20.99,31.16,972,563,4
21.06,30.47,882,496,5
20.86,30.82,795,419,3
20.88,31.16,752,406,3
20.78,31.13,735,359,3
21.01,30.98,749,358,2
20.98,31.7,728,341,2
21.15,31.52,747,497,4
21.15,31.64,765,787,3
21.18,31.23,752,727,5
21.25,31.54,760,760,8
21.3,31.29,769,825,11
21.38,30.88,759,662,9
21.29,30.64,750,589,8
21.42,30.16,733,512,6
21.45,29.52,705,488,6
21.09,30.49,688,497,5
20.99,29.83,673,434,5
21.05,29.49,636,374,4
20.95,29.47,603,340,4
21.01,29.4,588,331,4
20.96,30.08,588,314,3
20.94,30.0,596,318,3
21.08,30.94,597,318,4
20.95,32.08,601,323,4
20.85,32.23,599,327,2
20.85,32.2,601,334,2
20.71,32.2,597,363,3
20.63,31.96,590,354,2
20.61,31.77,585,353,2
20.51,31.62,581,356,2
20.49,31.42,580,338,2
20.47,31.25,573,324,2
20.41,31.08,572,330,2
20.39,31.0,567,311,2
20.37,30.76,569,321,1
20.37,30.67,569,301,1
20.31,30.69,568,318,1
20.3,30.57,570,328,2
20.28,30.6,570,321,1
20.24,30.42,577,319,1
20.23,30.32,570,320,2
20.25,30.26,569,309,1
20.21,30.19,561,315,1
20.21,30.19,559,298,1
20.14,30.22,562,302,1
20.17,30.17,559,297,1
20.09,30.15,561,294,2
20.17,29.98,560,291,1
20.14,29.89,555,283,1
20.11,30.0,554,283,2
20.08,29.9,553,269,2
20.11,29.8,545,282,1
20.09,29.76,544,276,1
20.14,29.71,541,268,1
20.09,29.57,538,267,1
20.08,29.5,537,267,1
20.11,29.46,539,274,1
20.08,29.49,540,279,2
20.04,29.51,537,281,2
20.07,29.5,535,271,1
20.03,29.56,534,267,1
20.01,29.52,538,260,1
20.07,29.39,535,273,1
20.07,29.31,536,260,1
20.08,29.26,530,252,1
20.07,29.25,532,251,1
20.08,29.21,534,259,1
20.0,29.28,532,251,1
20.09,29.13,531,259,1
20.05,29.16,527,255,1
20.07,29.13,529,256,1
20.01,29.19,527,248,2
20.04,28.97,523,245,1
20.07,29.0,523,255,1
20.08,28.88,524,248,1
20.07,28.96,521,241,1
20.04,28.98,521,255,1
20.07,29.0,527,242,1
20.07,28.99,526,246,1
20.09,28.9,521,240,1
19.95,29.04,521,246,1
20.04,29.04,520,237,1
20.05,28.92,522,237,1
20.05,28.93,516,234,1
20.03,29.07,520,237,1
20.07,28.83,521,234,1
20.08,28.88,521,233,1
20.01,28.96,527,227,0
19.98,29.08,520,221,1
20.05,28.96,519,232,1
20.01,29.08,521,224,1
20.03,29.14,524,231,1
19.98,29.2,519,222,1
20.05,29.08,516,228,1
20.08,29.03,516,225,1
20.04,29.14,519,221,1
20.04,29.11,521,234,1
20.01,29.23,522,236,1
20.07,29.07,523,228,1
20.01,29.19,522,237,0
20.04,29.05,517,228,1
20.03,29.04,517,232,1
19.98,29.15,516,228,1
20.01,29.12,514,229,1
20.03,29.01,513,231,1
20.04,28.98,516,222,1
19.97,29.06,513,229,1
20.0,29.04,519,221,1
20.03,29.01,513,224,0
20.01,28.97,513,228,0
20.03,29.04,511,224,1
20.04,28.89,516,229,1
19.97,29.01,517,227,1
20.0,28.98,516,226,1
20.03,28.87,516,248,1
